place_id,place_name,review_id,name,reviewer_profile,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJmzYoNEkfGDoRoafNC8ZidYw,Chilika Lake,ChZDSUhNMG9nS0VJQ0FnSUNYbV9TckRnEAE,Debjyoti Ghosh,https://www.google.com/maps/contrib/115569700833291519459/reviews?entry=ttu,5,"Love it..

Very adventurous

Be aware of people trying to sell gems and pearls on the Red Crab Island.",4 days ago,2024-10-20T22:38:56,,,null,0,19,232,1,null,null
ChIJmzYoNEkfGDoRoafNC8ZidYw,Chilika Lake,ChZDSUhNMG9nS0VJQ0FnSUNuNzlUT1VBEAE,Anubrata Koley,https://www.google.com/maps/contrib/106547753463047420676/reviews?entry=ttu,5,"We booked a boat ride for 9 people through OTDC, and it turned out to be one of the most mind-blowing experiences weve ever had. The 4-hour journey across the stunning Chilka Lake was absolutely magical. Our boat driver was highly skilled and experienced, ensuring that we felt safe and comfortable throughout the trip. His expertise made all the difference, and we felt like we were in good hands, allowing us to fully immerse ourselves in the beauty of the surroundings.

The highlight of the trip was undoubtedly spotting the dolphins. Seeing these majestic creatures up close was an experience beyond words. One of the dolphins even swam right past our boat! Though I couldn't capture that perfect moment on camera, it's a memory etched in my heart forever.

We also came across vibrant red crabs and even witnessed pearl hunting, adding more wonder to the journey. Another highlight was reaching the **mohana**, where the lake meets the sea. The vastness and serenity of the place were breathtaking. The beauty of this spot is something that simply cannot be described--it must be experienced.

What made this trip even more memorable was the rain. Cruising across the vast lake, with the gentle rain creating ripples in the water, felt like something out of a dream. The combination of nature's elements made it an extraordinary adventure, one that will remain forever in the depths of my memory.

Overall, the Chilka Lake boating experience was nothing short of spectacular, filled with unforgettable moments of awe and wonder. I'll cherish this trip for a lifetime.",3 weeks ago,2024-10-03T22:38:56,,,null,0,130,691,1,null,null
ChIJmzYoNEkfGDoRoafNC8ZidYw,Chilika Lake,ChZDSUhNMG9nS0VJQ0FnSURMeWJiaGZBEAE,PARAMITA HALDER,https://www.google.com/maps/contrib/103511231352135386180/reviews?entry=ttu,4,Great viwe of lake from the train. This is the Rambha part of the lake...People come here for boating and enjoying the scenic beauty of this lake....Water is crystal clear and area is well maintained by the government and local people. Boating is open for a particular period of day.. So come according to this time otherwise you cant experience the boating of Asias largest brackish water lagoon,3 months ago,2024-07-24T22:38:56,,,null,2,66,357,1,null,null
ChIJmzYoNEkfGDoRoafNC8ZidYw,Chilika Lake,ChdDSUhNMG9nS0VJQ0FnSURiamZQMWp3RRAB,Sreepriya Bairagya,https://www.google.com/maps/contrib/109070816575476062618/reviews?entry=ttu,2,"Our visit to Chilika Lake was somewhat disappointing. Despite the beautiful scenery, we didnt see any Irrawaddy dolphins or migratory birds, which was a letdown. The boat ride felt long and uneventful, lacking the excitement we had hoped for. Additionally, we noticed many trees being cut down, possibly for the dhabas in the area, which is concerning for the environment. While the local seafood was delicious and the people were friendly, the overall experience didn't meet our expectations.",2 months ago,2024-08-24T22:38:56,,,null,1,20,64,1,null,null
ChIJmzYoNEkfGDoRoafNC8ZidYw,Chilika Lake,ChZDSUhNMG9nS0VJQ0FnSURuLTVPSWRnEAE,SANDHIKSHAN DAS,https://www.google.com/maps/contrib/114165534281480646118/reviews?entry=ttu,5,"Chilika Lake is the largest brackish water lagoon in Asia and second largest coastal lagoon in the world, covering an area of over 1,100 square km. Takes approx 40 minutes to reach from puri sea beach area. 7 seater Car Takes Approx 900 and Bus takes 350/ person . Boating charges approx. 3000 to 5000 if you has gone by standalone car but bus fare is included of boating price at share basis. The whole lake takes approx 3 to 4 hours to complete .",2 weeks ago,2024-10-10T22:38:56,,,null,0,404,3310,1,null,null
ChIJmzYoNEkfGDoRoafNC8ZidYw,Chilika Lake,ChdDSUhNMG9nS0VJQ0FnSURickpYUjl3RRAB,SACHIN MOHARANA,https://www.google.com/maps/contrib/106581006385341784459/reviews?entry=ttu,5,"Chilika Lake is one of the most beautiful place of Odisha not only in Odisha but also on the whole World, because with the respect of time there are lots of different types of birds are seen there. It covers a large area and known as one of the most salty water lake in India. It covers Puri, Khordha and Ganjam like districts. I will recommend you to Must visit place between November to February month for great experience. ",2 months ago,2024-08-24T22:38:56,,,null,0,53,624,1,null,null
ChIJmzYoNEkfGDoRoafNC8ZidYw,Chilika Lake,ChZDSUhNMG9nS0VJQ0FnSUNIODRhd1BBEAE,Atul Lande,https://www.google.com/maps/contrib/112907050969063073299/reviews?entry=ttu,5,"**Chilika Lake**, located in Odisha, is the largest coastal lagoon in India and the second largest in the world. Spanning over 1,100 square kilometers, it stretches across the districts of Puri, Khurda, and Ganjam, offering a unique ecosystem that attracts nature lovers, bird watchers, and travelers.

One of Chilika Lakes most fascinating features is its **biodiversity**. It is home to over 160 species of birds, many of which are migratory and come from as far as Siberia and the Himalayas. The lake becomes a bird watcher's paradise, especially during the winter months, with species like flamingos, pelicans, and herons. The **Nalaban Bird Sanctuary**, located within the lake, is a key spot for observing these beautiful creatures.

Chilika is also home to the rare **Irrawaddy dolphins**, which can be spotted around Satapada, a small town near the lake. Dolphin watching tours are popular and offer an exciting experience for visitors.

The lakes **brackish water** ecosystem supports a rich variety of aquatic life, including prawns, crabs, and fish, making fishing a major livelihood for local communities. Chilika's waters are also famous for producing pearls, adding to its economic significance.

Boating on Chilika Lake is one of the highlights of visiting, with scenic rides available to islands like **Kalijai Island**, which has a famous temple, and **Honeymoon Island**, known for its serene beauty.

The best time to visit Chilika Lake is from **November to February**, when the weather is pleasant, and the migratory birds are at their peak. It is a perfect getaway for those seeking tranquility, wildlife, and a connection with nature.",a month ago,2024-09-24T22:38:56,,,null,0,19,25,1,null,null
ChIJmzYoNEkfGDoRoafNC8ZidYw,Chilika Lake,ChZDSUhNMG9nS0VJQ0FnSUNMaWN6dEt3EAE,PAYAL BIYANI,https://www.google.com/maps/contrib/107788371451128353197/reviews?entry=ttu,3,"We visited Chilika Lake and had a mixed experience. The boat ride, while peaceful, was quite expensive and didnt offer the level of satisfaction we expected. 

Boat Ride: The ride started with a tour of the lake, where we enjoyed the scenic views. 

First Stop: At the first stop, the boat operators showed us moonstones, red stones, green stones, and pearls by cracking open shells right in front of us. They claimed these were natural and gave us high prices, but we found them to be fake. 

Second Stop: The next stop was Sea Mouth Island, where we had the chance to explore. We enjoyed tea and coconut water and discovered a beautiful sea view at Puri Seabeach, which was within walking distance. This part of the trip was the most relaxing and offered the best views. 

Dolphin Area: Finally, we were taken to an area where dolphins can sometimes be seen. Unfortunately, sightings were rare and not very satisfying. 

Overall Experience: The boat returned us to the starting point. Overall, the experience was just okay. I would advise others to consider spending their money elsewhere for a more satisfying experience. ",4 months ago,2024-06-24T22:38:56,,,null,1,10,125,1,null,null
ChIJmzYoNEkfGDoRoafNC8ZidYw,Chilika Lake,ChdDSUhNMG9nS0VJQ0FnSUQ3clBPYzV3RRAB,Animesh Chaurasia,https://www.google.com/maps/contrib/109160358571111671518/reviews?entry=ttu,1,"Chilaka lake Scam- 1. Scam package(boat ride) they wont provide details of other packages even insisting to share details of other packages
2. Cab driver are also involved package
3. Crab point - red crab showing in small tub
4. Restaurant scam by cab driver- Before reaching chilaka lake they will stop restaurant will ask to pay book lunch otherwise wont find and even driver dont eat but will charge driver food bill. Restaurant by driver its pure veg and separate veg kitchen but veg and non kitchen are connected using same materials. So person how prefer pure vegetarian food please avoid the restaurant.
Hotel Barsharani
5. Boat  - Boat
6. Fake coral pearls and other gems- selling blue moon gem, moti etc.

Chilika Lake is Asias largest brackish water lagoon and the second largest coastal lagoon in the world. Its located in the Puri, Khordha, and Ganjam districts of Odisha state, at the mouth of the Daya River, flowing into the Bay of Bengal.
Chilka lake is about 50 -55 km from Jagannath Puri temple and is one of the largest ( approx 65km long and 8 to 22km wide ) saltwater lake of India.
A large section of the tourist going to Jagannath Puri definitely go to enjoy boating in Chilika Lake.
Boating in the lake has its own unique pleasures though the ticket rates are very high. Dolphin Point is the most curious, but most of the disappointment is felt there. Caution is needed at Red Crab Point as attempts are made to sell fake coral pearls and other gems there. But still, boating has its own unique joy for kids.",2 months ago,2024-08-24T22:38:56,,,null,0,79,809,1,null,null
ChIJmzYoNEkfGDoRoafNC8ZidYw,Chilika Lake,ChZDSUhNMG9nS0VJQ0FnSUNiN19hSllREAE,The Sihab,https://www.google.com/maps/contrib/111122460609420657263/reviews?entry=ttu,5,"A boat ride on Chilka Lake, cold speedy wind touches all over the body, watching those birds , Group of dolphins roaming around, its all a part of Incredible views of Incredible India.",2 months ago,2024-08-24T22:38:56,,,null,0,18,95,1,null,null
