place_id,place_name,review_id,name,reviewer_profile,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJdcsXBJ8y_TsRY3mF6Q1RWi8,Somnath Temple,ChZDSUhNMG9nS0VJQ0FnSURuMmR5dmJREAE,Santosh Giri,https://www.google.com/maps/contrib/104176986770060241007/reviews?entry=ttu,5,"I had an incredible experience visiting Shree Somnath Temple. The architecture is stunning, blending ancient design with serene surroundings. The atmosphere is peaceful, making it a perfect place for reflection and spiritual connection. The history and significance of the temple are truly captivating. The staff was friendly and helpful, enhancing the overall experience. I highly recommend visiting this sacred site to anyone exploring Gujarat!",2 weeks ago,2024-10-11T06:34:46,,,null,2,26,83,1,null,null
ChIJdcsXBJ8y_TsRY3mF6Q1RWi8,Somnath Temple,ChdDSUhNMG9nS0VJQ0FnSUNueklxUnBBRRAB,Sandeep Datir,https://www.google.com/maps/contrib/107339440529548501947/reviews?entry=ttu,5,"Today, I had the opportunity to visit the magnificent Somnath Temple, and it was truly an unforgettable experience. After arriving at Veraval station, I took an auto ride to Somnath for Rs. 200, and though the journey was short, it built anticipation for what was to come. I checked into a hotel for Rs. 1600 per day, which, while modest in size with limited amenities, had an air conditioner--an essential relief from the heat. Although they promised hot water, it was unavailable, but this minor inconvenience was soon forgotten once I stepped into the serene and spiritual atmosphere of Somnath Temple.

The temple itself is a sight to behold--its grandeur and historical significance create an aura of timelessness. Walking through its corridors, I felt a sense of deep peace and tranquility, as if the weight of everyday life was lifted. The gentle sea breeze from the Arabian Sea, just steps away from the temple, added to the calming ambiance, making it a perfect place for reflection and spiritual connection. The energy of Somnath is palpable, and the spiritual solace it provides is indescribable. Whether youre a pilgrim or simply someone seeking peace, this temple is truly a divine sanctuary.
Visited on
Weekend

Wait time
Up to 10 min

Reservation recommended
No",a month ago,2024-09-25T06:34:46,,,null,0,44,385,1,null,null
ChIJdcsXBJ8y_TsRY3mF6Q1RWi8,Somnath Temple,ChZDSUhNMG9nS0VJQ0FnSURiX00zWEZBEAE,Bhagat Singh,https://www.google.com/maps/contrib/104980469317840697215/reviews?entry=ttu,4,"The Somnath Temple is a remarkable fusion of history and spirituality. As one of the twelve Jyotirlingas, it holds immense significance in Hindu tradition. The temple's stunning architecture, featuring intricate carvings and grand design, reflects its ancient heritage. Located by the Arabian Sea, the views from the temple are simply breathtaking. The atmosphere is serene, making it a perfect place for meditation and reflection. Visitors will appreciate the clean, well-maintained premises and the warm hospitality of the staff. The cultural richness, especially during festivals, adds a vibrant touch to the visit. Overall, Somnath Temple is a must-visit for those interested in history, architecture, and spirituality. Highly recommended for a memorable and enriching experience.",2 months ago,2024-08-25T06:34:46,,,null,0,74,226,1,null,null
ChIJdcsXBJ8y_TsRY3mF6Q1RWi8,Somnath Temple,ChZDSUhNMG9nS0VJQ0FnSUNYaTR2ekJBEAE,mahantha deeksha,https://www.google.com/maps/contrib/105615723639648738396/reviews?entry=ttu,5,"The temple visit was very pleasant with enormous sea view in the backside and the clean beach and there are free mobile lockers and luggage deposits inside the temple, the gsrtc bus stand and priv bus stand are same side by side, connectivity is available for major cities from somnath either from govt or private,
Visited on
Weekend

Wait time
10-30 min

Reservation recommended
No",4 days ago,2024-10-21T06:34:46,,,null,0,48,305,1,"Visited on
Weekend

Wait time
10-30 min

Reservation recommended
No",null
ChIJdcsXBJ8y_TsRY3mF6Q1RWi8,Somnath Temple,ChdDSUhNMG9nS0VJQ0FnSUNidjRPdXpBRRAB,Ankur Soni,https://www.google.com/maps/contrib/115350915463653640179/reviews?entry=ttu,5,"We visited on Friday of July month. It was off season therefore less crowded. Mobiles and electronic gadgets are not allowed. Prasad counter is located outside and inside the temple. Shoe stand, cloak rooms and mobile deposit facility is available free of cost. A very divine place located. Temple is very beautiful and peaceful. Avoid weekends and holidays to avoid long queues. No proper eating options near the temple.
Visited on
Weekday

Wait time
No wait

Reservation recommended
No",2 months ago,2024-08-25T06:34:46,,,null,0,314,1471,1,null,null
ChIJdcsXBJ8y_TsRY3mF6Q1RWi8,Somnath Temple,ChdDSUhNMG9nS0VJQ0FnSUNiMHZIU3hRRRAB,Sudarshan Kate,https://www.google.com/maps/contrib/104157743767729355607/reviews?entry=ttu,5,"Somnath Temple is one of the most revered Hindu pilgrimage sites, situated on the western coast of Gujarat. It is dedicated to Lord Shiva and holds immense religious significance. The temple complex is stunning, with intricate architecture that reflects its rich history and cultural heritage. Visitors are captivated by the spiritual ambiance and the sound of bells resonating throughout the premises. The temple faces the Arabian Sea, offering breathtaking views, especially during sunrise and sunset. Facilities for darshan (viewing the deity) are well-maintained, though it can be crowded during peak seasons. Overall, a deeply spiritual and awe-inspiring place that leaves a lasting impression on pilgrims and tourists alike.

If you have any more questions or need further information about Somnath Temple, feel free to ask!
Visited on
Weekend

Wait time
30-60 min

Reservation recommended
No",2 months ago,2024-08-25T06:34:46,,,null,1,85,262,1,null,null
ChIJdcsXBJ8y_TsRY3mF6Q1RWi8,Somnath Temple,ChdDSUhNMG9nS0VJQ0FnSUNMN2ZQazdBRRAB,Ashutosh Srivastav,https://www.google.com/maps/contrib/108557522423834609139/reviews?entry=ttu,5,"Beautiful temple. Well maintained and properly managed. Ocean beside the temple makes overall environment more spritual. Mobiles, handbags are not allowed, you have to submit in the locker room. We visited twice in a day to make sure we dont miss the scenic morning time and not the light show in the evening too.
Visited on
Weekday

Wait time
No wait

Reservation recommended
No",4 months ago,2024-06-25T06:34:46,,,null,0,147,657,1,"Visited on
Weekday

Wait time
No wait

Reservation recommended
No",null
ChIJdcsXBJ8y_TsRY3mF6Q1RWi8,Somnath Temple,ChdDSUhNMG9nS0VJQ0FnSURyMzVUZmxBRRAB,Vicky Chavan,https://www.google.com/maps/contrib/106388673826867174279/reviews?entry=ttu,5,"Visiting the Somnath Temple was a truly awe-inspiring experience. The temples architecture is stunning, especially against the backdrop of the Arabian Sea. The atmosphere inside the temple is serene and spiritually uplifting. The rituals performed by the priests add to the authenticity of the visit. The temple premises are well-maintained and clean. Its a place where you can feel a deep sense of peace and connect with the rich spiritual heritage of India. A must-visit for anyone interested in history, culture, and spirituality.
Visited on
Weekend

Wait time
Up to 10 min

Reservation recommended
No",3 months ago,2024-07-25T06:34:46,,,null,0,12,33,1,null,null
ChIJdcsXBJ8y_TsRY3mF6Q1RWi8,Somnath Temple,ChZDSUhNMG9nS0VJQ0FnSURucUxIUEhBEAE,OMKAR INAMDAR,https://www.google.com/maps/contrib/110916004540727971682/reviews?entry=ttu,5,"A beautiful grand temple in the west coast of the country. It is one of the twelve Jyotirlingas and followed by a lot of devotees. The temple has a lot of history attached to it. You can also perform Shree Someshwar Mahapooja but this needs to be booked in advance. 
Visited on
Weekend

Wait time
Up to 10 min

Reservation recommended
Yes",3 weeks ago,2024-10-04T06:34:46,,,null,0,153,186,1,"Visited on
Weekend

Wait time
Up to 10 min

Reservation recommended
Yes",null
ChIJdcsXBJ8y_TsRY3mF6Q1RWi8,Somnath Temple,ChdDSUhNMG9nS0VJQ0FnSUNIdWZLaXhBRRAB,Dharmpal Singh,https://www.google.com/maps/contrib/104313653101103755635/reviews?entry=ttu,5,"Aadi Jyoti Linga . Nice place to visit.
Darshan Timing is from 6:00 AM to 10:00 PM. Aarti Timings : Morning = 7:00 AM, 12:00 Noon, 7:00 PM. Light And Sound Show Timing = 8:00 PM To 9:00 PM. (Except in the Monsoon / Rainy Season)
Please dont wear shorts and half pants.
They will not allow.
Must see the light show
Camera not allowed inside the temple",a month ago,2024-09-25T06:34:46,,,null,1,162,779,1,null,null
ChIJdcsXBJ8y_TsRY3mF6Q1RWi8,Somnath Temple,ChdDSUhNMG9nS0VJQ0FnSUQ3cXR1NXNBRRAB,ruhaan sinha,https://www.google.com/maps/contrib/115194181645295862502/reviews?entry=ttu,5,"I was there in the month of December, i would say best time to visit there during winter season. There is a train running everyday from Ahmedabad to veraval(nearest station to Somnath Temple). However, road connectivity is also very convenient except some parts after junagadh.

After reaching there just take a auto ride , hardly they will charge 30 rs per person. You will have a variety of homestay option there.
Also you can book a room in their trust , but you have to check availability before reaching there. For people who just want to take a shower , you can check some guesthouse near temple. They charge some amount and you can do your things there.

For temple premises: i would suggest wear a dress which is suitable for religious places. To avoid rush, try to visit there in early morning. You can buy silver coin and other things from temples shop. There are some other temples within a distance of 1 km from main temple. You can visit by walking as on the way there are other various temple of lord Ganesha, lord Ram etc.

After visiting temple, dont forget to visit triveni sangam. You can also take a boat ride at triveni sangam (meeting point of Hiran , kapila and Saraswati river). Now youre done with temple and all, after doing lunch take entry inside beach. You can visit the small market there and enjoy tasty food from their food stalls. You can also take a ride on bicycle ,its chargeable and can be hired at entry point itself. Dont miss the sunset at beach. You can go back to Ahmedabad from the same train leaving Veraval after 9 PM.
Visited on
Weekday

Wait time
1 hr+",2 months ago,2024-08-25T06:34:47,,,null,0,61,53,1,null,null
ChIJdcsXBJ8y_TsRY3mF6Q1RWi8,Somnath Temple,ChZDSUhNMG9nS0VJQ0FnSUNYcXRMSEdnEAE,Abhishek Sharma (abhishek),https://www.google.com/maps/contrib/116042577701938709281/reviews?entry=ttu,5,"This is very important place for sanatanis , somnath temple is situated in veraval . Veraval is a place where shri krishna took his last breath in veravala,somnath there is 20 + places which is related to mahabharatas time there is pandav gufaa shri shankaracharya maharaj ji gufa ,shri ram mandir, somnath temple and many more places...... 
Visited on
Public holiday",a week ago,2024-10-18T06:34:47,,,null,0,7,23,,null,null
ChIJdcsXBJ8y_TsRY3mF6Q1RWi8,Somnath Temple,ChdDSUhNMG9nS0VJQ0FnSURMeXJqYXRRRRAB,Deepak Kumar Pujari,https://www.google.com/maps/contrib/102440416002356855939/reviews?entry=ttu,5,"Great experience of visiting other than lodges are pretty costly near the temple,no electronics allowed and very good setup for keeping the mobiles as well The laser show is very good you will have to wait till 8pm and tickets are issued at sharp 6:30pm.
Visited on
Weekend

Wait time
10-30 min

Reservation recommended
No",3 months ago,2024-07-25T06:34:47,,,null,0,50,203,1,"Visited on
Weekend

Wait time
10-30 min

Reservation recommended
No",null
ChIJdcsXBJ8y_TsRY3mF6Q1RWi8,Somnath Temple,ChdDSUhNMG9nS0VJQ0FnSUNyeUxlTDJnRRAB,Browny,https://www.google.com/maps/contrib/101457306065216868168/reviews?entry=ttu,4,"Spectacular heritage of India.
Loved the architecture of new temple.

But one thing i want to share is dont visit in the noon, as the floor of the Temple campus is too hot to bear. And shoes nd sleeper are not allowed in the campus as campus is too vast.
Visited on
Weekday

Wait time
Up to 10 min

Reservation recommended
No",3 months ago,2024-07-25T06:34:47,,,null,0,64,275,1,null,null
