place_id,place_name,review_id,name,reviewer_profile,rating,review_text,published_at,published_at_date,response_from_owner_text,response_from_owner_ago,response_from_owner_date,review_likes_count,total_number_of_reviews_by_reviewer,total_number_of_photos_by_reviewer,is_local_guide,review_translated_text,response_from_owner_translated_text
ChIJbf8C1yFxdDkR3n12P4DkKt0,Taj Mahal,ChZDSUhNMG9nS0VJQ0FnSUQ3bXJTekFREAE,Albin Saji,https://www.google.com/maps/contrib/107983772962755496898/reviews?entry=ttu,1,"The Taj Mahal in Agra, India has been the subject of many positive reviews. Some people call it a must-see while others describe it as stunning and mesmerizing. Here are some insights from reviews:

Beauty

Most people see the Taj Mahal as architecture and beauty at its best because it changes color during different times of the day.

Time of day

Others say that sun rises up at six am when gates open. It is also said to be a busy place during sunset especially near marble seating.

Photography

It has also been mentioned that photographing inside isn't allowed but outside can be done from a distance. Security personnel will blow whistles on anybody who tries taking photos within the mausoleum's precincts since cameras may also be seized.

Other attractions

They also encourage tourists to visit other places such as Sikandra, Fatehpur Sikri and other tombs of Akbar, Itmad-ud-Daulah's tomb etc in Agra beside famous AgraFort.
Visited on
Public holiday

Wait time
10-30 min

Reservation recommended
Not sure",a month ago,2024-09-23T08:10:05,,,null,1,3,8,,null,null
ChIJbf8C1yFxdDkR3n12P4DkKt0,Taj Mahal,ChZDSUhNMG9nS0VJQ0FnSURuaGF1MmJBEAE,Amit G,https://www.google.com/maps/contrib/113724355182569156891/reviews?entry=ttu,1,"Keep the ticket prices for Indian citizens and foreign nationals same. Treat them like a guest. Most of other countries don't charge different ticket prices based on nationality, don't be greedy. Also why is the ticket price so high for foreign nationals not everyone is coming from Europe or US, people are also coming from developing countries. Fact, the people who actually created the monument never charged a single rupee for anyone to visit it. Please reform the ticketing prices.",2 weeks ago,2024-10-09T08:10:05,,,null,1,13,1,,null,null
ChIJbf8C1yFxdDkR3n12P4DkKt0,Taj Mahal,ChZDSUhNMG9nS0VJQ0FnSUNycExtOU53EAE,vishal gupta,https://www.google.com/maps/contrib/101250968958636828010/reviews?entry=ttu,1,"This place is run from story about shah jaha they will not showing about any real culture only for run about story
Visited on
Public holiday

Wait time
No wait

Reservation recommended
Yes",3 months ago,2024-07-23T08:10:05,,,null,2,54,118,1,"Visited on
Public holiday

Wait time
No wait

Reservation recommended
Yes",null
ChIJbf8C1yFxdDkR3n12P4DkKt0,Taj Mahal,ChdDSUhNMG9nS0VJQ0FnSUNYOUxLNHJnRRAB,Saif Sarwer,https://www.google.com/maps/contrib/103710655234420863365/reviews?entry=ttu,1,"Taj Mahal is no doubt the wonder of the world. Better management is required to control the crowd.

Never keep your bags in the locker. We lost our 2 bags and no one took the responsibility. We filed an FIR in the Paryatan police station. Against the 3 workers. Moreover one of the owner to whom worker called Haji sahab is fraud. He tried to create environment of fear and asked us to better take some compensation and leave. Thanks to active police team who helped us to file an FIR.",a week ago,2024-10-16T08:10:05,,,null,0,12,2,1,null,null
ChIJbf8C1yFxdDkR3n12P4DkKt0,Taj Mahal,ChdDSUhNMG9nS0VJQ0FnSUQ3NlktMXdBRRAB,sharol fernandes,https://www.google.com/maps/contrib/113324839890565852610/reviews?entry=ttu,1,"I just visited Taj this week, be very cautious about the local photographers...they state a very low price and just take the 1st photo correctly rest all of the photos are blur and out of focus..we clicked some pictures on our phone which was way more better than that photographer..and at the end he took 4 times the price stating the volume of pictures are more..after the transfer and viewing the pictures on our phone realized the horror..out of 100 just 10 were clicked properly..we Wanted to capture memories as family but this turned to be disaster..avoid these photographer n prefer taking photos yourself..you capture better pictures than them
Visited on
Weekend

Reservation recommended
Yes",a month ago,2024-09-23T08:10:05,,,null,2,7,1,,null,null
ChIJbf8C1yFxdDkR3n12P4DkKt0,Taj Mahal,ChdDSUhNMG9nS0VJQ0FnSURIMy1TcGdRRRAB,Dhirendra Singh,https://www.google.com/maps/contrib/107007768898658110380/reviews?entry=ttu,1,"If you have already visited Taj Mahal once then I will not recommend visiting the Taj Mahal because here they are looting tourists and charging an extra Rs 200 in the name of seeing Taj Mahal from inside which is not worth the paid price. In total you have to pay Rs 50 entry fee and extra Rs 200 to go inside. You are not allowed to take any pictures from inside.
Visited on
Weekend

Wait time
30-60 min

Reservation recommended
No",a month ago,2024-09-23T08:10:05,,,null,0,7,null,,null,null
ChIJbf8C1yFxdDkR3n12P4DkKt0,Taj Mahal,ChZDSUhNMG9nS0VJQ0FnSURIdGJ6ZVNBEAE,PRASHANTH,https://www.google.com/maps/contrib/109464480423524998586/reviews?entry=ttu,1,"Worst experience dont go for night view waste of money... They took 500 for ticket but they will show you the Taj Mahal from 500meters away in dark night saying night view. when you see from far its even doesnt look like taj mahal better to visit in morning hours literally wate of time and money
Visited on
Weekday

Wait time
10-30 min

Reservation recommended
No",a month ago,2024-09-23T08:10:05,,,null,0,104,92,1,"Visited on
Weekday

Wait time
10-30 min

Reservation recommended
No",null
ChIJbf8C1yFxdDkR3n12P4DkKt0,Taj Mahal,ChZDSUhNMG9nS0VJQ0FnSUM3Nk95VWNBEAE,Arun Kumar J,https://www.google.com/maps/contrib/102137398230706781310/reviews?entry=ttu,1,"I would give 5 star to the place. But, I would like to list the things which would make me think to never visit this place again in my lifetime
1. Ticket cost - 50(to see only the garden), 250(to go inside the mausoleum) - even this seems acceptable as they want to control the crowd visiting the mahal inside and preserve its heritage
2. Electric Golf cart - for taking one from the parking to entrance charged at 20/person(for less than 500m) - most imp is the tickets are not provided for everyone (given only those who asks for it) and the fare is taken by this drivers without any accountability to government.
3. Shoe cover - for going inside the mausoleum, the shoes need to be covered with the cover. But the reusable cloth cover(provided free of cost) has all the dirt than the shoes. Also the clean use and throw cover is charged 10 each separately (as a separte business inside) - wonder why all these are charged outside the ticket cost when we cant go imside without it
Its not about the amount they charge, but its about the unethical practice they are following.
Visited on
Weekday

Reservation recommended
Yes",2 months ago,2024-08-23T08:10:05,,,null,5,56,16,1,null,null
ChIJbf8C1yFxdDkR3n12P4DkKt0,Taj Mahal,ChdDSUhNMG9nS0VJQ0FnSURzMGZua2lRRRAB,Rajeev Kumar Chaurasia,https://www.google.com/maps/contrib/115943114427397737102/reviews?entry=ttu,1,This place is situated at Agra city of Indian state Uttar Pradesh. This place is a major tourist attraction not only for Indians but for foreigners also. This place is having some greenery also which makes it more important as natural perspective. This is a historical place. There are many places to see inside the premises.,4 years ago,2020-10-23T08:10:05,,,null,18,101,4034,,null,null
ChIJbf8C1yFxdDkR3n12P4DkKt0,Taj Mahal,ChZDSUhNMG9nS0VJQ0FnSUNIcXNtRGRnEAE,Digambar Kalal,https://www.google.com/maps/contrib/102672894734851773504/reviews?entry=ttu,1,"In taj mahal very bad service given by bag locker ,
Visited on
Weekend

Reservation recommended
No",a month ago,2024-09-23T08:10:05,,,null,1,8,23,1,"Visited on
Weekend

Reservation recommended
No",null
